"","review","score"
"1","µµ´ëÃ¼ ¾îµð°¡ ¿ô±ä °ÇÁö... ","1"
"2","¿äÁò °°Àº ¶§ »ý°¢¾øÀÌ º¸±â ³Ê¹« ÁÁÀº ¿µÈ­³×¿ä ¤¾¤¾¤¾ ±âºÐ ÁÁ¾ÆÁö³×¿ä!! ¿ª½Ã ¿µÈ­´Â ±ØÀå¿¡¼­..¤»¤»¤» ","10"
"3","Áñ°Ì°Ô º¼ ¼ö ÀÖ´Â ¿µÈ­ ¤»¤»¤»¤» ±è¿µ±¤ ÀÌ¼±ºó µÑ ÄÉ¹Ì°¡ ³Ñ À¯ÄèÇÏ°í ÁÁ¾Æ¿© ","10"
"4","¤»¤»¤»¹ÌÄ£ µÑÀÌ žÍÄÉ ¿ô±è ¤»¤»¤» ·Î¸Ç½º 1µµ ¾ø¾î¼­ °Á °³¿ô±â°í ÁÁ¾ÒÀ½ ¤»¤»¤»¤» ÀÌ¼±ºó ³Ñ ÁÁÚ¤»¤»¤» ","10"
"5","¿À·£¸¸¿¡ ±ØÀå¿¡¼­ ¿ôÀ¸¸é¼­ ¿µÈ­¸¦ °ü¶÷ÇÔ.. µÎ ¹è¿ì ÄÚ¹Í ÄÉ¹Ìµµ ÁÁ°í, ¾ïÁö½º·¯¿î ·Î¸Ç½º ¿¬°áµµ ¾øÀÌ ¿ÀÁ÷ ¸ñÇ¥¸¦ ÇâÇØ ´Þ·Á°¡´Â ºÎºÐÀÌ ¸¾¿¡ µë... ÄÚ¹Í°ú ¾×¼ÇÀÌ Àß ¹èÄ¡Çß°í ¹«¾ùº¸´Ù µÎ ¹è¿ìµéÀÇ ÄÉ¹Ì°¡ ±» ","9"
"6","±è¿µ±¤ ¾×¼Ç½ÅÀÌ ¸Å¿ì¸Å¿ì ¸ÚÁö°í ¿ôÀ½ Æ÷ÀÎÆ®°¡ ¸¹¾Æ¿ä ²À º¸¼¼¿ä µÎ¹øº¸¼¼¿ä ¼¼¹øº¸¼¼¿ä~~ ","10"
"7","¹«½¼ ¿µÈ­°¡ °³¿¬¼ºµµ ÇÏ³ªµµ ¾ø°í º°·Î ¿ô±âÁöµµ ¾Ê°í µ·¾Æ±î¿üÀ½ ","1"
"8","¾Æ¹«»ý°¢¾øÀÌ ¿Ô´Ù°¡ ¿ôÀ¸¸ç Áñ°Ì°Ô µ¹¾Æ°©´Ï´Ù~ ","10"
"9","°¨µ¿µµ ¾ø°í.. ½ºÅä¸®µµ ¾ø°í..ÀÎ»ý¿µÈ­¿¡¿ä Á¦ ÀÎ»ý¿¡¼­ Á¦ÀÏ Àç¹Ì¾ø´Â ¿µÈ­¿ä.. ","1"
"10","¿À·£¸¸¿¡ ¿µÈ­º¸°í Á¦´ë·Î ¿ôÀº°Å°°¾Æ¿ä µÑ ÄÉ¹Ì°¡ ³Ê¹« ÁÁ¾Ò±¸ °©ÀÚ±â º»°Å¶ó ±è¿µ±¤ ÀÌ¼±ºó»©±¸ ´©±¸ ³ª¿À´ÂÁöµµ ¸ô¶ú´Âµ¥ »ç¶÷º¸´Â Àç¹Ìµµ ÀÖ¾ú´ø°Å°°¾Æ¿ä! ","10"
"11","¿À·£¸¸¿¡ º¸´Â¿µÈ­¿´´Âµ¥ ³Ê¹« Àç¹Õ°Ô ÀßºÃ¾î¿ä ¾×¼Ç½Å¿¡¼­ °¨Åº¸¸ Çß½À´Ï´Ù.. ±è¿µ±¤ÇÑÅ× ºüÁú°Å °°³×¿ä.. ","10"
"12","Ã³À½À¸·Î ¿µÈ­º¸´Ù ³ª¿ÔÀ½¿¹»óµÇ´Â½ºÅä¸®. »·ÇÑ°³±× ","1"
"13","¿ô±â°í Àç¹ÕÀ½ ½Ã°£°¡´ÂÁÙ ¸ð¸§ ","10"
