"","영화 제목","세부 링크","관람객 평점","기자 평론가 평점 "
"1","미나리","https://movie.naver.com/movie/bi/mi/basic.nhn?code=187310","8.40","7.58"
"2","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196051","9.64","6.00"
"3","라야와 마지막 드래곤","https://movie.naver.com/movie/bi/mi/basic.nhn?code=184518","9.46","6.20"
"4","미션 파서블","https://movie.naver.com/movie/bi/mi/basic.nhn?code=189124","8.43","4.50"
"5","리스타트","https://movie.naver.com/movie/bi/mi/basic.nhn?code=182019","8.36","6.00"
"6","소울","https://movie.naver.com/movie/bi/mi/basic.nhn?code=184517","9.32","8.44"
"7","반지의 제왕: 반지 원정대","https://movie.naver.com/movie/bi/mi/basic.nhn?code=31794","9.82","평점 없음"
"8","중경삼림","https://movie.naver.com/movie/bi/mi/basic.nhn?code=17059","9.24","평점 없음"
"9","아이 씨 유","https://movie.naver.com/movie/bi/mi/basic.nhn?code=186586","6.92","5.67"
"10","모리타니안","https://movie.naver.com/movie/bi/mi/basic.nhn?code=193800","9.00","6.60"
"11","고질라 VS. 콩","https://movie.naver.com/movie/bi/mi/basic.nhn?code=191637","개봉 전","개봉 전"
"12","아수라도","https://movie.naver.com/movie/bi/mi/basic.nhn?code=202352","10.00","2.00"
"13","정말 먼 곳","https://movie.naver.com/movie/bi/mi/basic.nhn?code=193043","10.00","7.14"
"14","카오스 워킹","https://movie.naver.com/movie/bi/mi/basic.nhn?code=163811","7.33","5.00"
"15","암모나이트","https://movie.naver.com/movie/bi/mi/basic.nhn?code=194830","9.48","6.40"
"16","반지의 제왕: 두 개의 탑","https://movie.naver.com/movie/bi/mi/basic.nhn?code=31795","10.00","평점 없음"
"17","웨이 다운","https://movie.naver.com/movie/bi/mi/basic.nhn?code=202361","9.00","5.00"
"18","허트 로커","https://movie.naver.com/movie/bi/mi/basic.nhn?code=68945","9.80","8.17"
"19","반지의 제왕: 왕의 귀환","https://movie.naver.com/movie/bi/mi/basic.nhn?code=31796","9.67","평점 없음"
"20","포제서","https://movie.naver.com/movie/bi/mi/basic.nhn?code=191843","6.00","6.50"
"21","파이터","https://movie.naver.com/movie/bi/mi/basic.nhn?code=198306","평점 없음","6.14"
"22","톰과 제리","https://movie.naver.com/movie/bi/mi/basic.nhn?code=193973","8.04","5.67"
"23","더 레이서","https://movie.naver.com/movie/bi/mi/basic.nhn?code=197450","8.22","6.33"
"24","그녀가 사라졌다","https://movie.naver.com/movie/bi/mi/basic.nhn?code=198627","10.00","5.50"
"25","아이","https://movie.naver.com/movie/bi/mi/basic.nhn?code=194463","9.24","6.00"
"26","러빙 빈센트","https://movie.naver.com/movie/bi/mi/basic.nhn?code=144379","9.17","7.50"
"27","스파이의 아내","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196052","개봉 전","개봉 전"
"28","최면","https://movie.naver.com/movie/bi/mi/basic.nhn?code=202526","개봉 전","개봉 전"
"29","빛과 철","https://movie.naver.com/movie/bi/mi/basic.nhn?code=194084","8.26","6.83"
"30","마리오네트","https://movie.naver.com/movie/bi/mi/basic.nhn?code=197517","9.00","6.33"
"31","퍼펙트 케어","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196533","9.16","6.50"
"32","저스티스 리그","https://movie.naver.com/movie/bi/mi/basic.nhn?code=116866","7.90","5.83"
"33","유어 아이즈 텔","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196053","9.83","5.33"
"34","잭 스나이더의 저스티스 리그","https://movie.naver.com/movie/bi/mi/basic.nhn?code=203288","평점 없음","평점 없음"
"35","태극기 휘날리며","https://movie.naver.com/movie/bi/mi/basic.nhn?code=36666","평점 없음","평점 없음"
"36","브레이브 언더 파이어","https://movie.naver.com/movie/bi/mi/basic.nhn?code=202534","평점 없음","5.50"
"37","자산어보","https://movie.naver.com/movie/bi/mi/basic.nhn?code=189075","개봉 전","개봉 전"
"38","인천스텔라","https://movie.naver.com/movie/bi/mi/basic.nhn?code=194907","개봉 전","개봉 전"
"39","아무도 없는 곳","https://movie.naver.com/movie/bi/mi/basic.nhn?code=184366","개봉 전","개봉 전"
"40","랜드","https://movie.naver.com/movie/bi/mi/basic.nhn?code=201219","9.00","평점 없음"
"41","고백","https://movie.naver.com/movie/bi/mi/basic.nhn?code=194909","8.00","5.50"
"42","검객","https://movie.naver.com/movie/bi/mi/basic.nhn?code=165287","8.62","4.50"
"43","어른들은 몰라요","https://movie.naver.com/movie/bi/mi/basic.nhn?code=195691","개봉 전","개봉 전"
"44","낙원의 밤","https://movie.naver.com/movie/bi/mi/basic.nhn?code=189050","개봉 전","개봉 전"
"45","극장판 바이올렛 에버가든","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196843","9.69","6.50"
"46","새해전야","https://movie.naver.com/movie/bi/mi/basic.nhn?code=190382","8.41","5.67"
"47","그린 북","https://movie.naver.com/movie/bi/mi/basic.nhn?code=171539","9.55","7.29"
"48","체리","https://movie.naver.com/movie/bi/mi/basic.nhn?code=191546","개봉 전","개봉 전"
"49","노매드랜드","https://movie.naver.com/movie/bi/mi/basic.nhn?code=196215","개봉 전","개봉 전"
"50","모탈 컴뱃","https://movie.naver.com/movie/bi/mi/basic.nhn?code=202925","개봉 전","개봉 전"
